Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;480.101
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;484.467
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;0,9
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;85
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;92
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;8,2
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;275
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;266
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-3,3
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;5.687
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;6.242
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;9,8
TOTAL NACIONAL;4. Secuestro;enero-marzo 2023;32
TOTAL NACIONAL;4. Secuestro;enero-marzo 2024;28
TOTAL NACIONAL;4. Secuestro;Variación % 2024/2023;-12,5
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-marzo 2023;4.293
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-marzo 2024;4.568
TOTAL NACIONAL;5. Delitos contra la libertad sexual;Variación % 2024/2023;6,4
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-marzo 2023;1.020
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-marzo 2024;1.138
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;Variación % 2024/2023;11,6
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;3.273
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;3.430
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;4,8
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-marzo 2023;15.378
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-marzo 2024;15.020
TOTAL NACIONAL;6. Robos con violencia e intimidación;Variación % 2024/2023;-2,3
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;32.094
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;30.621
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-4,6
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;21.608
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;20.872
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-3,4
TOTAL NACIONAL;8. Hurtos;enero-marzo 2023;163.463
TOTAL NACIONAL;8. Hurtos;enero-marzo 2024;156.967
TOTAL NACIONAL;8. Hurtos;Variación % 2024/2023;-4,0
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-marzo 2023;7.845
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-marzo 2024;8.031
TOTAL NACIONAL;9. Sustracciones de vehículos;Variación % 2024/2023;2,4
TOTAL NACIONAL;10. Tráfico de drogas;enero-marzo 2023;4.927
TOTAL NACIONAL;10. Tráfico de drogas;enero-marzo 2024;5.045
TOTAL NACIONAL;10. Tráfico de drogas;Variación % 2024/2023;2,4
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-marzo 2023;246.022
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-marzo 2024;257.587
TOTAL NACIONAL;11. Resto de criminalidad convencional;Variación % 2024/2023;4,7
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;107.826
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;122.428
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;13,5
TOTAL NACIONAL;12.-Estafas informáticas;enero-marzo 2023;96.482
TOTAL NACIONAL;12.-Estafas informáticas;enero-marzo 2024;110.268
TOTAL NACIONAL;12.-Estafas informáticas;Variación % 2024/2023;14,3
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-marzo 2023;11.344
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-marzo 2024;12.160
TOTAL NACIONAL;13.-Otros ciberdelitos;Variación % 2024/2023;7,2
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;587.927
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;606.895
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;3,2
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;79.661
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;77.809
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-2,3
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;22
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;27
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;22,7
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;63
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;48
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-23,8
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;1.072
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;1.171
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;9,2
ANDALUCÍA;4. Secuestro;enero-marzo 2023;10
ANDALUCÍA;4. Secuestro;enero-marzo 2024;9
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-10,0
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-marzo 2023;716
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-marzo 2024;694
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;-3,1
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-marzo 2023;128
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-marzo 2024;119
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-7,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;588
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;575
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-2,2
ANDALUCÍA;6. Robos con violencia e intimidación;enero-marzo 2023;1.750
ANDALUCÍA;6. Robos con violencia e intimidación;enero-marzo 2024;1.818
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;3,9
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;4.977
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;4.785
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-3,9
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;3.333
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;3.297
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-1,1
ANDALUCÍA;8. Hurtos;enero-marzo 2023;22.998
ANDALUCÍA;8. Hurtos;enero-marzo 2024;21.392
ANDALUCÍA;8. Hurtos;Variación % 2024/2023;-7,0
ANDALUCÍA;9. Sustracciones de vehículos;enero-marzo 2023;1.347
ANDALUCÍA;9. Sustracciones de vehículos;enero-marzo 2024;1.526
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2024/2023;13,3
ANDALUCÍA;10. Tráfico de drogas;enero-marzo 2023;1.124
ANDALUCÍA;10. Tráfico de drogas;enero-marzo 2024;1.047
ANDALUCÍA;10. Tráfico de drogas;Variación % 2024/2023;-6,9
ANDALUCÍA;11. Resto de criminalidad convencional;enero-marzo 2023;45.582
ANDALUCÍA;11. Resto de criminalidad convencional;enero-marzo 2024;45.292
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;-0,6
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;17.745
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;21.604
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;21,7
ANDALUCÍA;12.-Estafas informáticas;enero-marzo 2023;15.705
ANDALUCÍA;12.-Estafas informáticas;enero-marzo 2024;19.064
ANDALUCÍA;12.-Estafas informáticas;Variación % 2024/2023;21,4
ANDALUCÍA;13.-Otros ciberdelitos;enero-marzo 2023;2.040
ANDALUCÍA;13.-Otros ciberdelitos;enero-marzo 2024;2.540
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2024/2023;24,5
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;97.406
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;99.413
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;2,1
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;9.183
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;9.789
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;6,6
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;3
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;3
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;11
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;5
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-54,5
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;128
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;162
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;26,6
ARAGÓN;4. Secuestro;enero-marzo 2023;0
ARAGÓN;4. Secuestro;enero-marzo 2024;0
ARAGÓN;4. Secuestro;Variación % 2024/2023;0,0
ARAGÓN;5. Delitos contra la libertad sexual;enero-marzo 2023;94
ARAGÓN;5. Delitos contra la libertad sexual;enero-marzo 2024;89
ARAGÓN;5. Delitos contra la libertad sexual;Variación % 2024/2023;-5,3
ARAGÓN;5.1.-Agresión sexual con penetración;enero-marzo 2023;22
ARAGÓN;5.1.-Agresión sexual con penetración;enero-marzo 2024;22
ARAGÓN;5.1.-Agresión sexual con penetración;Variación % 2024/2023;0,0
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;72
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;67
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-6,9
ARAGÓN;6. Robos con violencia e intimidación;enero-marzo 2023;237
ARAGÓN;6. Robos con violencia e intimidación;enero-marzo 2024;268
ARAGÓN;6. Robos con violencia e intimidación;Variación % 2024/2023;13,1
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;766
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;769
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;0,4
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;530
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;573
ARAGÓN;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;8,1
ARAGÓN;8. Hurtos;enero-marzo 2023;2.607
ARAGÓN;8. Hurtos;enero-marzo 2024;2.821
ARAGÓN;8. Hurtos;Variación % 2024/2023;8,2
ARAGÓN;9. Sustracciones de vehículos;enero-marzo 2023;95
ARAGÓN;9. Sustracciones de vehículos;enero-marzo 2024;86
ARAGÓN;9. Sustracciones de vehículos;Variación % 2024/2023;-9,5
ARAGÓN;10. Tráfico de drogas;enero-marzo 2023;108
ARAGÓN;10. Tráfico de drogas;enero-marzo 2024;87
ARAGÓN;10. Tráfico de drogas;Variación % 2024/2023;-19,4
ARAGÓN;11. Resto de criminalidad convencional;enero-marzo 2023;5.134
ARAGÓN;11. Resto de criminalidad convencional;enero-marzo 2024;5.499
ARAGÓN;11. Resto de criminalidad convencional;Variación % 2024/2023;7,1
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;3.004
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;3.152
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;4,9
ARAGÓN;12.-Estafas informáticas;enero-marzo 2023;2.678
ARAGÓN;12.-Estafas informáticas;enero-marzo 2024;2.845
ARAGÓN;12.-Estafas informáticas;Variación % 2024/2023;6,2
ARAGÓN;13.-Otros ciberdelitos;enero-marzo 2023;326
ARAGÓN;13.-Otros ciberdelitos;enero-marzo 2024;307
ARAGÓN;13.-Otros ciberdelitos;Variación % 2024/2023;-5,8
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;12.187
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;12.941
ARAGÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;6,2
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;5.857
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;6.031
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;3,0
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;2
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;1
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-50,0
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;2
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;2
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;86
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;103
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;19,8
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-marzo 2023;0
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-marzo 2024;1
ASTURIAS (PRINCIPADO DE);4. Secuestro;Variación % 2024/2023;100,0
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-marzo 2023;69
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-marzo 2024;62
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;Variación % 2024/2023;-10,1
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-marzo 2023;17
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-marzo 2024;14
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;Variación % 2024/2023;-17,6
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;52
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;48
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,7
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-marzo 2023;79
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-marzo 2024;79
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;384
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;351
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-8,6
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-marzo 2023;252
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-marzo 2024;202
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-19,8
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-marzo 2023;1.765
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-marzo 2024;1.895
ASTURIAS (PRINCIPADO DE);8. Hurtos;Variación % 2024/2023;7,4
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-marzo 2023;68
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-marzo 2024;54
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;Variación % 2024/2023;-20,6
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-marzo 2023;47
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-marzo 2024;42
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;Variación % 2024/2023;-10,6
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-marzo 2023;3.355
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-marzo 2024;3.441
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;Variación % 2024/2023;2,6
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;2.089
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;2.332
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;11,6
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-marzo 2023;1.901
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-marzo 2024;2.084
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;Variación % 2024/2023;9,6
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-marzo 2023;188
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-marzo 2024;248
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;Variación % 2024/2023;31,9
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;7.946
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;8.363
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,2
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;12.987
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;12.888
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,8
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;0
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;5
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;5
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;0,0
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;235
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;233
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;-0,9
BALEARS (ILLES);4. Secuestro;enero-marzo 2023;1
BALEARS (ILLES);4. Secuestro;enero-marzo 2024;2
BALEARS (ILLES);4. Secuestro;Variación % 2024/2023;100,0
